time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-16T23:46:04.389Z,61.1362,-147.5052,0,1.1,ml,,,,0.78,ak,ak021g382bbu,2021-12-24T18:52:20.355Z,"53 km WNW of Tatitlek, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-12-16T14:06:40.351Z,61.2331,-147.8092,0,1.3,ml,,,,0.5,ak,ak021g32gwpv,2021-12-24T18:51:04.124Z,"64 km ESE of Knik River, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-12-15T22:13:27.059Z,61.0483,-147.4406,0,0.9,ml,,,,0.49,ak,ak021g1jqi1b,2022-01-13T01:00:04.026Z,"46 km WNW of Tatitlek, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-12-15T10:39:57.453Z,61.2451,-147.663,0,1.5,ml,,,,0.32,ak,ak021g1cqxnp,2022-01-13T00:59:55.339Z,"62 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-12-14T17:41:40.904Z,61.1456,-147.4337,0,1.2,ml,,,,0.62,ak,ak021fzte0ml,2022-01-17T19:20:15.579Z,"51 km NW of Tatitlek, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-12-13T22:41:19.076Z,61.0189,-147.4193,0,1,ml,,,,0.33,ak,ak021fy8tszf,2022-01-13T16:35:50.728Z,"43 km WNW of Tatitlek, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-12-10T21:21:26.417Z,61.2644,-147.7172,0,1.1,ml,,,,0.48,ak,ak021ft9i1nl,2022-01-09T23:27:27.094Z,"60 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-12-05T11:21:13.992Z,61.1872,-146.9364,0,1.3,ml,,,,0.49,ak,ak021fktuy64,2022-01-07T00:44:38.296Z,"Southern Alaska",ice quake,,0,,,reviewed,ak,ak
2021-12-05T07:30:53.871Z,61.0997,-147.313,0,1.3,ml,,,,0.79,ak,ak021fkrj8mh,2022-01-07T00:44:35.667Z,"43 km NW of Tatitlek, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-12-04T16:03:08.320Z,61.1589,-146.9512,0,1.4,ml,,,,0.87,ak,ak021fj96wfi,2022-01-09T08:16:55.740Z,"32 km W of Valdez, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-12-03T14:35:17.910Z,61.1667,-147.2387,0,1.4,ml,,,,0.31,ak,ak021fhknkcd,2022-01-05T23:33:55.180Z,"45 km NW of Tatitlek, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-11-29T02:38:54.375Z,61.1809,-146.9212,0,1.5,ml,,,,0.24,ak,ak021fardor3,2022-01-03T17:23:16.408Z,"31 km W of Valdez, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-11-28T02:27:10.213Z,61.1901,-146.8929,0,1.6,ml,,,,0.62,ak,ak021f93rw9h,2021-12-30T01:06:17.117Z,"30 km WNW of Valdez, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-11-27T22:53:59.767Z,61.2547,-147.6969,0,1.3,ml,,,,0.51,ak,ak021f7sawc1,2022-01-02T10:00:30.989Z,"61 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-11-27T18:57:04.550Z,61.144,-147.5221,0,1.3,ml,,,,0.45,ak,ak021f7pxwgf,2022-01-02T10:00:25.510Z,"55 km NW of Tatitlek, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-11-27T17:06:55.470Z,61.1935,-147.1462,0,1.2,ml,,,,0.68,ak,ak021f7p1nez,2022-01-02T10:00:22.285Z,"43 km W of Valdez, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-11-24T17:21:42.183Z,61.2316,-147.6925,0,1.3,ml,,,,0.55,ak,ak021f2qirlx,2021-11-24T18:06:24.388Z,"64 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-11-24T10:48:09.112Z,61.1375,-147.2157,0,1.2,ml,,,,0.58,ak,ak021f2mih37,2022-01-06T01:25:57.943Z,"42 km NW of Tatitlek, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-11-24T00:35:13.240Z,61.2129,-147.7374,0,1.1,ml,,,,0.64,ak,ak021f2ghcfk,2022-01-05T23:36:53.166Z,"66 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-11-17T08:37:23.784Z,61.2765,-147.7622,0,1.5,ml,,,,0.51,ak,ak021er0hp10,2021-12-27T20:25:59.436Z,"59 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-11-17T02:10:05.356Z,61.159,-147.3792,0,1.3,ml,,,,0.87,ak,ak021eqwrfgs,2021-12-27T20:25:58.517Z,"50 km NW of Tatitlek, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-11-16T15:01:39.819Z,61.4021,-147.3495,0,1.3,ml,,,,0.97,ak,ak021epgwuvx,2022-01-05T04:20:07.728Z,"48 km SSE of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-11-16T05:56:11.542Z,61.1785,-147.2063,0,1.1,ml,,,,0.64,ak,ak021epba9ad,2022-01-06T01:04:01.366Z,"45 km NW of Tatitlek, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-11-15T07:40:54.248Z,61.3853,-147.5913,0,1.4,ml,,,,0.5,ak,ak021enoufz2,2021-12-16T00:55:32.043Z,"47 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-11-10T11:37:48.096Z,61.1392,-146.884,0,1.6,ml,,,,0.4,ak,ak021efhirx5,2021-12-13T14:47:03.286Z,"Southern Alaska",ice quake,,0,,,reviewed,ak,ak
2021-11-09T03:50:03.403Z,61.2693,-147.7173,0,1.1,ml,,,,0.44,ak,ak021edpanh6,2021-12-22T00:50:00.397Z,"60 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-11-08T19:10:46.559Z,61.2589,-147.116,0,1.3,ml,,,,0.47,ak,ak021ecb1rbj,2021-11-18T22:50:07.687Z,"43 km WNW of Valdez, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-11-08T17:35:36.320Z,61.1081,-147.4711,0,1,ml,,,,0.4,ak,ak021eca0880,2021-11-18T22:50:06.160Z,"50 km WNW of Tatitlek, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-11-07T19:39:58.066Z,61.1545,-147.2357,0,1.3,ml,,,,0.64,ak,ak021eanonjr,2021-12-10T20:42:48.785Z,"44 km NW of Tatitlek, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-11-07T18:15:36.702Z,61.1712,-147.232,0,0.9,ml,,,,0.8,ak,ak021eamy17i,2021-12-10T20:42:47.170Z,"45 km NW of Tatitlek, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-11-07T12:03:39.217Z,61.1757,-147.4903,0,1.2,ml,,,,0.89,ak,ak021eajaveh,2021-12-10T20:42:41.124Z,"55 km NW of Tatitlek, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-11-06T23:54:48.607Z,61.177,-147.2003,0,1,ml,,,,0.32,ak,ak021e92m8af,2021-12-14T23:19:58.118Z,"44 km NW of Tatitlek, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-11-04T06:42:35.844Z,61.2242,-147.7446,0,1.1,ml,,,,0.6,ak,ak021e5hciqd,2021-12-09T02:23:38.610Z,"65 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-10-31T06:09:52.956Z,61.2376,-147.6696,0,1.4,ml,,,,0.69,ak,ak021dyv05a7,2021-12-07T18:30:09.396Z,"63 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-10-31T06:09:52.956Z,61.2376,-147.6696,0,1.4,ml,,,,0.69,ak,ak021dyv04yv,2021-12-06T18:45:41.926Z,"63 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-10-30T15:42:18.839Z,61.1105,-147.4392,0,1.3,ml,,,,0.65,ak,ak021dxd0pi6,2021-12-14T23:17:11.062Z,"49 km WNW of Tatitlek, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-10-28T00:54:36.735Z,61.1348,-147.4906,0,1.2,ml,,,,0.8,ak,ak021dtt347o,2021-12-07T18:27:38.528Z,"53 km NW of Tatitlek, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-10-27T00:50:46.342Z,61.2245,-147.5786,0,1.1,ml,,,,0.46,ak,ak021ds5j1sk,2021-12-06T18:49:30.659Z,"63 km NW of Tatitlek, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-10-27T00:50:46.342Z,61.2245,-147.5786,0,1.1,ml,,,,0.46,ak,ak021ds5ixiy,2021-12-07T18:30:36.099Z,"63 km NW of Tatitlek, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-10-26T23:14:03.366Z,61.1373,-146.93,0,1.2,ml,,,,0.82,ak,ak021dqvgqvs,2021-12-14T23:16:17.065Z,"31 km W of Valdez, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-10-20T19:56:09.666Z,61.2763,-147.6558,0,1.2,ml,,,,0.39,ak,ak021dgw3ysl,2021-12-06T18:56:14.120Z,"59 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-10-16T18:11:40.711Z,61.279,-147.6927,0,1.2,ml,,,,0.33,ak,ak021da93jzb,2021-12-06T18:59:34.895Z,"58 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-10-11T07:29:43.560Z,61.0523,-147.6911,0,1.1,ml,,,,0.52,ak,ak021d1sywzu,2021-12-06T19:06:06.670Z,"58 km WNW of Tatitlek, Alaska",ice quake,,0,,,reviewed,ak,ak
